,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,Recall
y:label=0,19,0,0,0,0,0,0,0,1
y:label=1,0,15,0,0,0,0,0,0,1
y:label=2,0,0,19,0,1,0,0,0,0.95
y:label=3,0,0,0,12,0,1,0,0,0.9230
y:label=4,0,0,0,0,22,0,0,0,1
y:label=5,0,0,0,1,0,16,0,0,0.9411
y:label=6,0,0,0,3,0,1,28,1,0.8484
y:label=7,0,0,0,0,1,0,0,20,0.9523
Precision,1,1,1,0.75,0.9166,0.8888,1,0.9523,
F-Measures,1,1,0.9743,0.8275,0.9564,0.9142,0.9179,0.9523,
,,,,,,,,,
Accuracy,0.9437,,,,,,,,
Avg.Precision,0.9384,,,,,,,,
Avg.Recall,0.9518,,,,,,,,
Avg.F-Measures,0.9428,,,,,,,,
